2017-12-11 22:49:27.707 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Sauvegarde du fichier de configuration
2017-12-11 22:49:27.707 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Fichier de configuration sauvegardé
2017-12-11 22:49:27.707 [main] INFO  fr.ocr.configuration.Configuration - CLASS CONFIGURATION : Saved File Read
2017-12-11 22:49:27.707 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDIA : initialisation de l'IA
2017-12-11 22:49:27.708 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDCOMPARER : comparaison entre le nombre secret et le nombre joueur
2017-12-11 22:49:27.709 [main] INFO  fr.ocr.mode.Mode - Nouveau passage dans la boucle de découverte du chiffre
2017-12-11 22:49:27.709 [main] INFO  fr.ocr.joueur.OrdinateurJoueur - Entre dans OrdinateurJoueur.trouverChiffreSecret()
2017-12-11 22:49:27.709 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDIA : Nettoyage de la liste des possibilités
2017-12-11 22:49:27.710 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDCOMPARER : comparaison entre le nombre secret et le nombre joueur
2017-12-11 22:49:27.711 [main] INFO  fr.ocr.mode.Mode - Nouveau passage dans la boucle de découverte du chiffre
2017-12-11 22:49:27.711 [main] INFO  fr.ocr.joueur.OrdinateurJoueur - Entre dans OrdinateurJoueur.trouverChiffreSecret()
2017-12-11 22:49:27.711 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDIA : Nettoyage de la liste des possibilités
2017-12-11 22:49:27.712 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDCOMPARER : comparaison entre le nombre secret et le nombre joueur
2017-12-11 22:49:27.714 [main] INFO  fr.ocr.mode.Mode - Nouveau passage dans la boucle de découverte du chiffre
2017-12-11 22:49:27.715 [main] INFO  fr.ocr.joueur.OrdinateurJoueur - Entre dans OrdinateurJoueur.trouverChiffreSecret()
2017-12-11 22:49:27.715 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDIA : Nettoyage de la liste des possibilités
2017-12-11 22:49:27.715 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDCOMPARER : comparaison entre le nombre secret et le nombre joueur
2017-12-11 22:49:27.716 [main] INFO  fr.ocr.mode.Mode - Nouveau passage dans la boucle de découverte du chiffre
2017-12-11 22:49:27.717 [main] INFO  fr.ocr.joueur.OrdinateurJoueur - Entre dans OrdinateurJoueur.trouverChiffreSecret()
2017-12-11 22:49:27.718 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDIA : Nettoyage de la liste des possibilités
2017-12-11 22:49:27.718 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDCOMPARER : comparaison entre le nombre secret et le nombre joueur
2017-12-11 22:49:27.719 [main] INFO  fr.ocr.mode.Mode - Nouveau passage dans la boucle de découverte du chiffre
2017-12-11 22:49:27.719 [main] INFO  fr.ocr.joueur.OrdinateurJoueur - Entre dans OrdinateurJoueur.trouverChiffreSecret()
2017-12-11 22:49:27.720 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDIA : Nettoyage de la liste des possibilités
2017-12-11 22:49:27.720 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDCOMPARER : comparaison entre le nombre secret et le nombre joueur
2017-12-11 22:49:27.721 [main] INFO  fr.ocr.mode.Mode - Nouveau passage dans la boucle de découverte du chiffre
2017-12-11 22:49:27.721 [main] INFO  fr.ocr.joueur.OrdinateurJoueur - Entre dans OrdinateurJoueur.trouverChiffreSecret()
2017-12-11 22:49:27.721 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDIA : Nettoyage de la liste des possibilités
2017-12-11 22:49:27.721 [main] INFO  fr.ocr.mode.Mode - CLASSE MASTERMINDCOMPARER : comparaison entre le nombre secret et le nombre joueur
2017-12-11 22:49:27.723 [main] INFO  fr.ocr.mode.Mode - Jeu gagne
2017-12-11 22:49:27.726 [main] INFO  fr.ocr.menu.FinMenu - Entre dans choisirMenu de fin de partie
2017-12-11 22:49:27.732 [main] INFO  fr.ocr.menu.FinMenu - Entre dans choisirMenu de fin de partie
